User,Unauthorized Privilege Escalation,Toxic Privileges,SoD Violation,Conflicting Roles
User4506,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4501,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4488,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4487,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4483,Yes,finance:AuditTransactions,No,
User4461,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4459,Yes,finance:AuditTransactions,No,
User4580,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4452,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4451,Yes,finance:AuditTransactions,No,
User4916,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4444,Yes,finance:AuditTransactions,No,
User4442,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4663,Yes,finance:AuditTransactions,No,
User4436,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4420,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4857,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4415,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4411,Yes,finance:AuditTransactions,No,
User4408,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4397,Yes,finance:AuditTransactions,No,
User4394,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4392,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4390,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4385,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4379,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4375,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4374,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4366,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4354,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4351,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4350,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4349,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4347,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4333,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4332,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4330,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4327,Yes,finance:AuditTransactions,No,
User4323,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4321,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4319,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4317,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4316,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4308,Yes,finance:AuditTransactions,No,
User4298,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4297,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4944,Yes,finance:AuditTransactions,No,
User4290,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4287,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4282,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4277,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4775,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4276,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4275,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4274,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4255,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4247,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4238,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4229,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4219,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4206,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4204,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4203,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4202,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4200,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4195,Yes,finance:AuditTransactions,No,
User4194,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4192,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4183,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4870,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4168,Yes,finance:AuditTransactions,No,
User4167,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4672,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4162,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4152,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4141,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4134,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4130,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4129,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4126,Yes,finance:AuditTransactions,No,
User4177,Yes,finance:AuditTransactions,No,
User4125,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4124,Yes,finance:AuditTransactions,No,
User4120,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4118,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4116,Yes,finance:AuditTransactions,No,
User4109,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4331,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4107,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4103,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4102,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4100,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4800,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4088,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4086,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4083,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4080,Yes,finance:AuditTransactions,No,
User4074,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4071,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4066,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4065,Yes,finance:AuditTransactions,No,
User4064,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4063,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4055,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4053,Yes,finance:AuditTransactions,No,
User4643,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4051,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4046,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4031,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4030,Yes,finance:AuditTransactions,No,
User4028,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4026,Yes,finance:AuditTransactions,No,
User4024,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4019,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4017,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4012,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4011,Yes,finance:AuditTransactions,No,
User4117,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4605,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4006,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4003,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4002,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3995,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3994,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3988,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3985,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3973,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3968,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3963,Yes,finance:AuditTransactions,No,
User3958,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3956,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3955,Yes,finance:AuditTransactions,No,
User3952,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3950,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3945,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4898,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3937,Yes,finance:AuditTransactions,No,
User3933,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3931,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3929,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3928,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3922,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4819,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3920,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4977,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3903,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4033,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3896,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3887,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3884,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3877,Yes,finance:AuditTransactions,No,
User3870,Yes,finance:AuditTransactions,No,
User3869,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3853,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3947,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3844,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3842,Yes,finance:AuditTransactions,No,
User3827,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3915,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4495,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3803,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4970,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3798,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4655,Yes,finance:AuditTransactions,No,
User3966,Yes,finance:AuditTransactions,No,
User3786,Yes,finance:AuditTransactions,No,
User3776,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3773,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3768,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3759,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3757,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4364,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3745,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3970,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3740,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4150,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3739,Yes,finance:AuditTransactions,No,
User3736,Yes,finance:AuditTransactions,No,
User3735,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3734,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4820,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3723,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4842,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3718,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3708,Yes,finance:AuditTransactions,No,
User3704,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3693,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3691,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3686,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4812,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3681,Yes,finance:AuditTransactions,No,
User3664,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3662,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3671,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4911,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3644,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3636,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3629,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3763,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3627,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3622,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3620,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3619,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3617,Yes,finance:AuditTransactions,No,
User4156,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3615,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3613,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3611,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3609,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3605,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4653,Yes,finance:AuditTransactions,No,
User3604,Yes,finance:AuditTransactions,No,
User3603,Yes,finance:AuditTransactions,No,
User3599,Yes,finance:AuditTransactions,No,
User3594,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3589,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3577,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3573,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3571,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3569,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3684,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3556,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3553,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3550,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4508,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3548,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3543,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3572,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3530,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3529,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4966,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4469,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3524,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3519,Yes,finance:AuditTransactions,No,
User3515,Yes,finance:AuditTransactions,No,
User3509,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User3508,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3507,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3504,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4689,Yes,finance:AuditTransactions,No,
User3498,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3653,Yes,finance:AuditTransactions,No,
User3493,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3492,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3489,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4960,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4470,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3483,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3479,Yes,finance:AuditTransactions,No,
User3593,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3463,Yes,finance:AuditTransactions,No,
User3454,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3450,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3440,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3437,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3436,Yes,finance:AuditTransactions,No,
User3428,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3427,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3426,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4671,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4409,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3422,Yes,finance:AuditTransactions,No,
User4556,Yes,finance:AuditTransactions,No,
User3420,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3409,Yes,finance:AuditTransactions,No,
User3404,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3398,Yes,finance:AuditTransactions,No,
User3914,Yes,finance:AuditTransactions,No,
User3387,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4254,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4223,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3384,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4577,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3924,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3381,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3374,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3371,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3767,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3369,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3367,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3361,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3356,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4886,Yes,finance:AuditTransactions,No,
User3344,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3339,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3338,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3325,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3324,Yes,finance:AuditTransactions,No,
User3322,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3320,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3584,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3314,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3313,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User3307,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3301,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3298,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3296,Yes,finance:AuditTransactions,No,
User4602,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3302,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3292,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3289,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3432,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3281,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4565,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3610,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3276,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3712,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3275,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3989,Yes,finance:AuditTransactions,No,
User3271,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3266,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3263,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3262,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3257,Yes,finance:AuditTransactions,No,
User3251,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4665,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3836,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3246,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3244,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User3242,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3237,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3235,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3233,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3232,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4205,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3230,Yes,finance:AuditTransactions,No,
User3229,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3227,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3221,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3218,Yes,finance:AuditTransactions,No,
User3215,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4979,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User3213,Yes,finance:AuditTransactions,No,
User3204,Yes,finance:AuditTransactions,No,
User3191,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3190,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3181,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4337,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3179,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4482,Yes,finance:AuditTransactions,No,
User3176,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3175,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3810,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3163,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3156,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3153,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4572,Yes,finance:AuditTransactions,No,
User3146,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3141,Yes,finance:AuditTransactions,No,
User3906,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3130,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3129,Yes,finance:AuditTransactions,No,
User3132,Yes,finance:AuditTransactions,No,
User3561,Yes,finance:AuditTransactions,No,
User3125,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3197,Yes,finance:AuditTransactions,Yes,Finance-Auditor
